Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Cabo Verde,CPV,Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,CRI,Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475000000,434000000,,,781000000,820000000,1308000000,2303283100,2923700000,3042600000,2586000000,2217433000,1409038882,1478219294,1944329894,2035260000,1887039730,1451605555,1444918138,1443051847,2014716115,
South Asia (IFC classification),CSA,Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caribbean small states,CSS,Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22936698717,37072764743,35972931942,33293805186,34241604770,25519059293,22671014679,24113782189,27557977900,26661581928,
Cuba,CUB,Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42000000,190000000,315000000,250000000,188358000,139433000,122310000,146772556,110079000,188359000,183465695,,,,,,
Cyprus,CYP,Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1290000000,1180000000,981000000,1334000000,2516000000,2355000000,2011000000,2618000000,6949599084,4351415816,6186540367,4990469907,4804411448,4880184572,6583190757,15900114025,29478593362,7954561125,4992819097,6834124010,2853216867,1995662080,
Czech Republic,CZE,Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5939999744,15664000000,18077000000,12786000000,12045000000,11796462500,11002220000,9331180000,15892710000,17662620000,30863060000,38345150000,48604250000,73420080000,48850496447,52687966786,43055621650,38352335115,37163260277,
Germany,DEU,Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.52E+11,3.65E+11,3.55E+11,3.93E+11,3.48E+11,4.63476E+11,4.70519E+11,5.77365E+11,6.70997E+11,8.25233E+11,1.09396E+12,1.43219E+12,1.27024E+12,1.07175E+12,6.91124E+11,1.07903E+12,1.19452E+12,1.22125E+12,1.63783E+12,2.10551E+12,1.10796E+12,1.29757E+12,1.42971E+12,1.18446E+12,1.48631E+12,
Djibouti,DJI,Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30200000512,40199999488,39099998208,44800000000,32600000512,41784999936,54399000576,56223000000,71688000000,93766000000,98881000000,1.05293E+11,1.07666E+11,88370377467,76787730000,1.21616E+11,1.51342E+11,1.78038E+11,2.31015E+11,2.77746E+11,1.31526E+11,1.86852E+11,2.31746E+11,1.79529E+11,2.24856E+11,
Dominican Republic,DOM,Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140000000,,,,,,,,,,,,,,,,
Algeria,DZA,Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (developing only),EAP,Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1465E+11,1.979E+11,4.649E+11,4.77532E+11,5.319E+11,6.92561E+11,3.84124E+11,4.22328E+11,6.40889E+11,7.80487E+11,7.46517E+11,7.03965E+11,1.05201E+12,1.05242E+12,1.2127E+12,3.02652E+12,7.09557E+12,3.25491E+12,5.69442E+12,6.00045E+12,4.63744E+12,5.26302E+12,
East Asia & Pacific (all income levels),EAS,Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.41044E+12,5.11555E+12,3.45405E+12,3.79895E+12,3.187E+12,4.54711E+12,5.28655E+12,5.29723E+12,5.14405E+12,3.78062E+12,4.0911E+12,7.22277E+12,5.52478E+12,4.52732E+12,4.30673E+12,6.2004E+12,7.36316E+12,9.041E+12,1.15552E+13,1.62583E+13,9.55959E+12,1.31567E+13,1.49695E+13,1.22636E+13,1.37249E+13,
Europe & Central Asia (developing only),ECA,Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23332000000,35630000000,82249023841,52143580952,1.34167E+11,86656155000,62883629814,57892310378,1.01229E+11,1.61631E+11,2.62863E+11,3.49374E+11,5.86039E+11,2.3717E+11,3.83575E+11,4.89459E+11,3.32267E+11,4.0973E+11,
Europe & Central Asia (all income levels),ECS,Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.04895E+12,2.52416E+12,2.3747E+12,2.65898E+12,2.45371E+12,3.17294E+12,3.50492E+12,4.32169E+12,5.10335E+12,6.26041E+12,7.94732E+12,1.01429E+13,9.48089E+12,7.69311E+12,6.49355E+12,9.06974E+12,1.08304E+13,1.21181E+13,1.64211E+13,1.93392E+13,9.18662E+12,1.23566E+13,1.34626E+13,1.15907E+13,1.29714E+13,
Ecuador,ECU,Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69000000,1100000000,2500000000,2631000000,1946000000,2128000000,1527000000,414882400,704140000,1416580000,1749570000,2153130000,2580630000,3214480000,4040030000,4266450000,4562138429,4247635856,5262945652,5778987987,5911080000,
"Egypt, Arab Rep.",EGY,Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1760000000,1710000000,1760000000,2649999872,3260000000,3809999872,4260000000,8088000000,14173000000,20830000000,24381000000,32837763100,28741380000,24335140000,26093780000,27072660000,38515920000,79672160000,93477330000,1.39289E+11,85885388487,89952506169,82494762437,48682635301,58008000056,
Euro area,EMU,Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9131E+11,1.33488E+12,1.1835E+12,1.31259E+12,1.19198E+12,1.532E+12,1.75543E+12,2.14075E+12,2.48073E+12,3.01314E+12,4.34748E+12,5.71987E+12,5.43596E+12,4.3269E+12,3.5162E+12,4.97262E+12,5.95526E+12,6.35985E+12,8.65396E+12,1.04777E+13,5.15618E+12,6.18082E+12,6.30487E+12,5.55674E+12,6.31061E+12,
